Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Cipla,CIPLA,Pharma,NSE,694,2020-12-08,777.0,779.45,757.8,766.0,4166424,,,
Cipla,CIPLA,Pharma,NSE,694,2020-12-09,769.9,773.9,759.95,762.4,4045201,766.0,-3.6,-0.47
Cipla,CIPLA,Pharma,NSE,694,2020-12-10,763.0,767.7,755.1,762.75,3679209,762.4,0.35,0.0459
Cipla,CIPLA,Pharma,NSE,694,2020-12-11,764.0,766.1,753.0,755.85,3178041,762.75,-6.9,-0.9046
Cipla,CIPLA,Pharma,NSE,694,2020-12-14,778.3,793.3,776.35,789.3,19785595,755.85,33.45,4.4255
Cipla,CIPLA,Pharma,NSE,694,2020-12-15,789.3,798.0,779.25,781.65,8249684,789.3,-7.65,-0.9692
Cipla,CIPLA,Pharma,NSE,694,2020-12-16,790.35,790.35,782.3,786.8,3817724,781.65,5.15,0.6589
Cipla,CIPLA,Pharma,NSE,694,2020-12-17,790.75,794.85,781.1,783.2,3984988,786.8,-3.6,-0.4575
Cipla,CIPLA,Pharma,NSE,694,2020-12-18,784.25,796.0,781.5,793.45,6487014,783.2,10.25,1.3087
Cipla,CIPLA,Pharma,NSE,694,2020-12-21,793.0,816.9,760.0,778.5,14465355,793.45,-14.95,-1.8842
Cipla,CIPLA,Pharma,NSE,694,2020-12-22,782.0,798.0,761.1,795.0,6139589,778.5,16.5,2.1195
Cipla,CIPLA,Pharma,NSE,694,2020-12-23,796.35,827.0,792.25,824.65,8520251,795.0,29.65,3.7296
Cipla,CIPLA,Pharma,NSE,694,2020-12-24,828.8,834.9,815.3,833.2,7293423,824.65,8.55,1.0368
Cipla,CIPLA,Pharma,NSE,694,2020-12-28,837.6,839.0,825.2,830.15,4809408,833.2,-3.05,-0.3661
Cipla,CIPLA,Pharma,NSE,694,2020-12-29,830.15,835.75,817.5,827.95,3311025,830.15,-2.2,-0.265
Cipla,CIPLA,Pharma,NSE,694,2020-12-30,830.0,830.0,816.05,823.8,2713931,827.95,-4.15,-0.5012
Cipla,CIPLA,Pharma,NSE,694,2020-12-31,824.0,833.35,816.4,819.95,4841426,823.8,-3.85,-0.4673
Cipla,CIPLA,Pharma,NSE,694,2021-01-01,822.8,828.95,820.65,826.6,2472823,819.95,6.65,0.811
Cipla,CIPLA,Pharma,NSE,694,2021-01-04,831.0,837.3,826.55,832.25,3485160,826.6,5.65,0.6835
Cipla,CIPLA,Pharma,NSE,694,2021-01-05,832.25,843.75,825.3,827.75,4558039,832.25,-4.5,-0.5407
Cipla,CIPLA,Pharma,NSE,694,2021-01-06,829.0,834.4,815.25,824.8,3317750,827.75,-2.95,-0.3564
Cipla,CIPLA,Pharma,NSE,694,2021-01-07,830.0,830.45,818.0,826.55,2879176,824.8,1.75,0.2122
