Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-08,1010.0,1016.0,991.18,1003.04,6638505,,,
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-09,1005.0,1020.0,1005.0,1011.38,6767490,1003.04,8.34,0.8315
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-10,1011.6,1017.28,1003.0,1010.62,4741470,1011.38,-0.76,-0.0751
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-11,1011.02,1016.81,996.96,1003.39,3839815,1010.62,-7.23,-0.7154
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-14,990.4,1010.8,990.4,1004.56,5918125,1003.39,1.17,0.1166
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-15,1009.39,1015.2,1002.04,1006.27,5025520,1004.56,1.71,0.1702
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-16,1010.0,1010.35,1001.2,1007.79,4162280,1006.27,1.52,0.1511
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-17,1010.0,1026.9,1006.0,1014.57,6803005,1007.79,6.78,0.6728
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-18,1016.0,1052.57,1015.63,1045.75,18525665,1014.57,31.18,3.0732
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-21,1048.6,1054.84,992.41,1013.71,9061285,1045.75,-32.04,-3.0638
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-22,1021.54,1035.0,987.27,1032.36,7764120,1013.71,18.65,1.8398
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-23,1032.29,1047.74,1026.25,1044.82,4062350,1032.36,12.46,1.2069
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-24,1049.4,1049.4,1033.0,1040.36,3378180,1044.82,-4.46,-0.4269
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-28,1045.63,1047.0,1037.4,1040.36,2055865,1040.36,0.0,0.0
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-29,1045.0,1053.8,1029.12,1033.12,4412165,1040.36,-7.24,-0.6959
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-30,1038.29,1038.29,1028.5,1034.19,2376345,1033.12,1.07,0.1036
Dr Reddys,DRREDDY,Pharma,NSE,881,2020-12-31,1038.0,1050.75,1032.2,1041.02,6036190,1034.19,6.83,0.6604
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-01,1043.45,1050.97,1040.0,1048.27,2915215,1041.02,7.25,0.6964
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-04,1052.0,1061.67,1048.27,1054.45,3923440,1048.27,6.18,0.5895
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-05,1048.0,1067.4,1045.39,1057.38,4770920,1054.45,2.93,0.2779
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-06,1057.38,1063.0,1045.2,1057.66,2713390,1057.38,0.28,0.0265
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-07,1060.2,1065.0,1050.6,1054.18,3266465,1057.66,-3.48,-0.329
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-08,1059.98,1072.0,1055.8,1067.65,4045915,1054.18,13.47,1.2778
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-11,1068.8,1085.4,1065.2,1083.36,4599235,1067.65,15.71,1.4715
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-12,1088.19,1088.7,1065.89,1070.77,3741860,1083.36,-12.59,-1.1621
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-13,1073.0,1075.0,1047.6,1058.0,3296060,1070.77,-12.77,-1.1926
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-14,1060.98,1065.6,1053.0,1061.78,2674860,1058.0,3.78,0.3573
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-15,1063.0,1063.0,1039.12,1042.56,2577605,1061.78,-19.22,-1.8102
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-18,1046.2,1047.59,1007.0,1010.42,4412055,1042.56,-32.14,-3.0828
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-19,1017.6,1020.99,1007.31,1017.78,3990495,1010.42,7.36,0.7284
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-20,1020.46,1031.95,1013.01,1016.13,3398145,1017.78,-1.65,-0.1621
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-21,1022.0,1027.6,1006.78,1010.44,2906620,1016.13,-5.69,-0.56
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-22,1009.75,1021.07,997.0,1007.38,3815610,1010.44,-3.06,-0.3028
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-25,1008.4,1025.68,992.0,1016.48,3588895,1007.38,9.1,0.9033
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-27,1010.48,1010.48,966.56,981.86,5261980,1016.48,-34.62,-3.4059
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-28,969.0,980.79,955.4,974.36,5165470,981.86,-7.5,-0.7639
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-01-29,978.0,983.0,910.0,920.54,14820975,974.36,-53.82,-5.5236
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-01,912.01,915.53,878.61,885.63,12951700,920.54,-34.91,-3.7923
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-02,893.8,905.6,876.2,896.5,18375530,885.63,10.87,1.2274
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-03,915.79,952.32,908.49,929.91,17227025,896.5,33.41,3.7267
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-04,938.6,941.2,924.42,933.59,6508800,929.91,3.68,0.3957
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-05,937.0,966.0,925.13,960.18,12038405,933.59,26.59,2.8481
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-08,973.0,981.99,965.0,971.96,10792890,960.18,11.78,1.2269
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-09,970.0,979.14,961.0,968.82,6233845,971.96,-3.14,-0.3231
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-10,969.0,976.82,952.2,964.81,5767115,968.82,-4.01,-0.4139
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-11,964.2,972.0,962.0,965.01,3557750,964.81,0.2,0.0207
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-12,971.96,971.96,957.0,958.4,2504510,965.01,-6.61,-0.685
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-15,958.4,966.71,940.01,941.97,4923205,958.4,-16.43,-1.7143
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-16,945.8,952.32,934.0,939.32,4064700,941.97,-2.65,-0.2813
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-17,939.32,941.99,916.0,920.11,5106775,939.32,-19.21,-2.0451
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-18,921.4,932.77,912.0,923.39,5147530,920.11,3.28,0.3565
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-19,920.4,945.6,906.0,936.29,6392670,923.39,12.9,1.397
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-22,941.6,945.39,888.63,893.85,6976565,936.29,-42.44,-4.5328
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-23,899.6,906.86,884.1,899.03,5317090,893.85,5.18,0.5795
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-24,899.03,904.75,875.4,887.11,3677930,899.03,-11.92,-1.3259
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-25,884.23,918.0,884.23,896.03,8531875,887.11,8.92,1.0055
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-02-26,892.0,911.72,881.0,885.31,7534450,896.03,-10.72,-1.1964
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-01,889.0,895.6,880.05,890.68,3545365,885.31,5.37,0.6066
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-02,894.68,895.98,878.03,880.94,9188390,890.68,-9.74,-1.0935
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-03,893.0,903.15,885.2,900.51,4253070,880.94,19.57,2.2215
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-04,896.4,916.67,888.8,915.01,7364955,900.51,14.5,1.6102
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-05,910.0,912.0,896.8,898.5,4131845,915.01,-16.51,-1.8044
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-08,900.0,904.4,892.6,898.45,2782080,898.5,-0.05,-0.0056
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-09,900.19,904.0,883.3,889.66,2715590,898.45,-8.79,-0.9784
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-10,899.2,903.97,891.21,900.08,3149805,889.66,10.42,1.1712
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-12,904.0,905.99,880.62,885.3,3439260,900.08,-14.78,-1.6421
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-15,892.0,892.44,857.0,868.45,4608790,885.3,-16.85,-1.9033
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-16,876.02,893.34,873.0,889.94,4678635,868.45,21.49,2.4745
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-17,889.94,893.0,868.86,871.17,4769865,889.94,-18.77,-2.1091
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-18,874.0,875.7,839.01,842.55,6054535,871.17,-28.62,-3.2852
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-19,842.0,861.07,827.0,854.89,7062075,842.55,12.34,1.4646
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-22,855.38,873.59,853.65,870.79,4336515,854.89,15.9,1.8599
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-23,870.0,880.6,864.42,874.45,3326180,870.79,3.66,0.4203
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-24,870.05,883.8,866.27,870.1,3912020,874.45,-4.35,-0.4975
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-25,870.0,880.43,856.95,876.11,4707080,870.1,6.01,0.6907
Dr Reddys,DRREDDY,Pharma,NSE,881,2021-03-26,884.0,884.6,869.54,881.2,3626590,876.11,5.09,0.581
