Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-08,66.8,67.2,64.8,65.5,38177971,,,
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-09,66.2,67.0,65.75,66.6,27130749,65.5,1.1,1.6794
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-10,66.4,66.5,64.85,65.5,38211390,66.6,-1.1,-1.6517
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-11,66.05,67.2,65.6,66.25,31794609,65.5,0.75,1.145
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-14,66.55,69.1,66.55,68.4,48793541,66.25,2.15,3.2453
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-15,68.65,68.65,66.7,67.4,28751441,68.4,-1.0,-1.462
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-16,68.25,68.5,67.5,67.75,19517091,67.4,0.35,0.5193
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-17,67.9,68.9,67.0,67.1,25152667,67.75,-0.65,-0.9594
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-18,67.5,67.65,65.3,66.35,21800372,67.1,-0.75,-1.1177
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-21,66.05,66.05,59.5,60.4,53156785,66.35,-5.95,-8.9676
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-22,60.45,62.15,57.65,61.8,67432435,60.4,1.4,2.3179
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-23,62.15,64.75,61.25,64.25,34846873,61.8,2.45,3.9644
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-24,64.3,66.05,64.3,65.2,27710195,64.25,0.95,1.4786
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-28,65.85,67.65,65.85,67.4,28798759,65.2,2.2,3.3742
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-29,67.7,68.25,66.35,67.4,29975598,67.4,0.0,0.0
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-30,67.65,68.0,66.3,67.25,19485702,67.4,-0.15,-0.2226
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2020-12-31,67.2,67.2,66.25,66.7,17887701,67.25,-0.55,-0.8178
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2021-01-01,67.0,68.2,66.8,68.05,14461641,66.7,1.35,2.024
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2021-01-04,69.0,71.4,68.8,70.55,45796174,68.05,2.5,3.6738
Federal Bank,FEDERALBNK,Mid Bank,NSE,1023,2021-01-05,70.0,72.5,69.25,72.3,41814547,70.55,1.75,2.4805
