Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-08,687.5,694.4,682.58,688.15,19457896,,,
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-09,688.5,705.03,687.53,703.6,22069074,688.15,15.45,2.2452
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-10,699.0,701.0,687.88,692.93,19727966,703.6,-10.67,-1.5165
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-11,695.03,697.5,686.5,691.4,21356384,692.93,-1.53,-0.2208
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-14,691.5,694.0,684.0,686.08,17222050,691.4,-5.32,-0.7695
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-15,690.4,697.48,683.0,695.65,21561436,686.08,9.57,1.3949
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-16,702.0,708.4,697.25,705.35,16832092,695.65,9.7,1.3944
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-17,709.3,722.5,702.25,720.9,21924478,705.35,15.55,2.2046
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-18,717.5,719.85,703.15,705.68,22995918,720.9,-15.22,-2.1112
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-21,708.75,711.93,683.35,686.33,23761824,705.68,-19.35,-2.742
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-22,692.4,692.4,672.5,686.55,22851558,686.33,0.22,0.0321
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-23,683.75,690.48,680.53,687.83,15467394,686.55,1.28,0.1864
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-24,694.7,702.0,688.5,698.55,14950954,687.83,10.72,1.5585
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-28,702.5,710.5,702.0,706.43,11697518,698.55,7.88,1.1281
HDFC Bank,HDFCBANK,Large Cap,NSE,1333,2020-12-29,710.53,717.38,710.0,713.6,14494416,706.43,7.17,1.015
