Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-08,37.15,37.3,36.45,37.05,24302015,,,
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-09,37.35,39.05,37.0,38.65,41122932,37.05,1.6,4.3185
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-10,38.7,38.7,36.8,37.6,38075316,38.65,-1.05,-2.7167
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-11,37.8,38.6,37.05,37.45,35136784,37.6,-0.15,-0.3989
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-14,37.9,38.0,37.5,37.75,15159919,37.45,0.3,0.8011
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-15,37.7,37.95,36.85,37.75,19420642,37.75,0.0,0.0
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-16,38.0,38.15,37.55,37.75,14987280,37.75,0.0,0.0
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-17,37.75,37.95,37.25,37.4,22083576,37.75,-0.35,-0.9272
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-18,37.5,37.55,36.2,36.95,22980485,37.4,-0.45,-1.2032
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-21,36.5,36.7,33.65,34.25,38446940,36.95,-2.7,-7.3072
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-22,34.0,34.75,32.9,34.6,42476231,34.25,0.35,1.0219
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-23,34.65,36.1,34.4,35.9,20477842,34.6,1.3,3.7572
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-24,36.15,36.5,35.65,35.9,18288731,35.9,0.0,0.0
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-28,36.25,37.2,36.0,36.95,22881089,35.9,1.05,2.9248
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-29,37.2,37.55,36.25,36.7,18929065,36.95,-0.25,-0.6766
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-30,36.85,36.95,35.9,36.65,19610585,36.7,-0.05,-0.1362
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2020-12-31,36.5,37.5,36.25,37.05,25485766,36.65,0.4,1.0914
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-01,37.05,37.6,36.85,37.4,12846829,37.05,0.35,0.9447
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-04,37.95,39.15,37.7,38.6,48685600,37.4,1.2,3.2086
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-05,38.25,39.95,37.9,39.7,54232793,38.6,1.1,2.8497
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-06,39.75,42.85,38.5,41.4,80617394,39.7,1.7,4.2821
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-07,43.5,47.6,42.4,45.8,201863637,41.4,4.4,10.628
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-08,46.8,46.95,43.85,44.4,74289673,45.8,-1.4,-3.0568
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-11,44.75,45.1,43.25,44.45,39328670,44.4,0.05,0.1126
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-12,44.0,48.45,43.5,47.15,90491463,44.45,2.7,6.0742
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-13,47.75,47.8,45.15,46.05,56533589,47.15,-1.1,-2.333
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-14,46.25,47.35,45.8,46.25,29303261,46.05,0.2,0.4343
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-15,46.4,49.55,45.85,48.45,99374357,46.25,2.2,4.7568
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-18,48.65,48.75,45.8,46.65,51614600,48.45,-1.8,-3.7152
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-19,47.1,50.7,47.1,50.15,72054540,46.65,3.5,7.5027
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-20,50.75,52.45,49.45,51.45,97998973,50.15,1.3,2.5922
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-21,51.95,52.0,48.8,49.7,55804315,51.45,-1.75,-3.4014
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-22,50.0,50.75,48.3,49.5,55536686,49.7,-0.2,-0.4024
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-25,50.3,50.65,47.55,48.05,37287654,49.5,-1.45,-2.9293
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-27,48.0,49.2,46.9,47.8,37071394,48.05,-0.25,-0.5203
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-28,47.1,49.15,46.95,47.9,50072217,47.8,0.1,0.2092
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-01-29,48.5,49.3,46.95,47.2,42474331,47.9,-0.7,-1.4614
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-01,45.8,47.15,43.75,46.6,91081907,47.2,-0.6,-1.2712
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-02,47.15,48.95,46.55,47.7,56028999,46.6,1.1,2.3605
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-03,48.2,48.3,47.1,47.65,28545964,47.7,-0.05,-0.1048
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-04,47.7,49.5,47.35,49.45,41304743,47.65,1.8,3.7775
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-05,49.5,50.8,48.05,48.45,61000858,49.45,-1.0,-2.0222
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-08,48.95,49.4,48.6,49.15,24988350,48.45,0.7,1.4448
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-09,49.4,52.2,48.3,50.0,79588768,49.15,0.85,1.7294
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-10,50.45,51.0,49.5,50.55,39907509,50.0,0.55,1.1
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-11,50.6,53.0,50.1,52.55,68635913,50.55,2.0,3.9565
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-12,52.85,52.95,51.45,52.1,45511913,52.55,-0.45,-0.8563
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-15,52.6,54.5,52.0,54.1,63451724,52.1,2.0,3.8388
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-16,54.45,54.6,52.7,53.9,46893133,54.1,-0.2,-0.3697
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-17,53.8,57.5,52.9,56.4,84019809,53.9,2.5,4.6382
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-18,56.8,58.9,55.9,58.1,64940780,56.4,1.7,3.0142
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-19,58.5,66.8,57.6,62.4,261369099,58.1,4.3,7.401
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-22,63.0,63.85,60.7,61.5,105132930,62.4,-0.9,-1.4423
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-23,61.4,63.35,61.1,61.4,61196241,61.5,-0.1,-0.1626
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-24,61.9,64.35,61.3,63.8,38587229,61.4,2.4,3.9088
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-25,64.95,65.8,64.4,64.55,70515038,63.8,0.75,1.1755
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-02-26,63.5,64.4,62.4,63.35,53524785,64.55,-1.2,-1.859
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-01,64.35,64.5,62.7,63.45,33023639,63.35,0.1,0.1579
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-02,63.75,65.1,63.4,64.5,39360926,63.45,1.05,1.6548
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-03,64.8,68.15,64.5,67.1,65205403,64.5,2.6,4.031
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-04,65.95,69.3,65.6,68.2,55534537,67.1,1.1,1.6393
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-05,68.0,68.85,65.95,66.8,55030398,68.2,-1.4,-2.0528
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-08,67.4,68.7,67.0,67.25,32053422,66.8,0.45,0.6737
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-09,67.75,68.35,65.6,66.65,27380896,67.25,-0.6,-0.8922
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-10,67.25,67.7,66.35,66.85,22248695,66.65,0.2,0.3001
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-12,67.3,68.1,65.3,66.95,33709746,66.85,0.1,0.1496
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-15,67.2,67.3,63.7,65.25,36984071,66.95,-1.7,-2.5392
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-16,65.75,65.85,63.05,63.4,31170441,65.25,-1.85,-2.8352
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-17,63.35,63.7,60.65,60.9,32277641,63.4,-2.5,-3.9432
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-18,61.5,62.35,58.45,59.4,43258471,60.9,-1.5,-2.4631
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-19,58.0,60.75,56.0,60.35,65740597,59.4,0.95,1.5993
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-22,60.05,61.1,58.75,59.45,37170598,60.35,-0.9,-1.4913
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-23,59.75,61.7,59.5,61.35,38805872,59.45,1.9,3.196
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-24,60.6,61.25,58.5,58.75,37196017,61.35,-2.6,-4.238
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-25,58.7,58.75,56.0,57.2,49161859,58.75,-1.55,-2.6383
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-26,58.0,59.2,57.35,57.7,30675649,57.2,0.5,0.8741
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-30,58.35,60.0,58.0,58.25,38647959,57.7,0.55,0.9532
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-03-31,59.5,59.6,55.3,55.8,68658906,58.25,-2.45,-4.206
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-04-01,56.2,57.85,56.15,57.0,49942765,55.8,1.2,2.1505
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-04-05,57.0,57.0,53.75,54.3,48358611,57.0,-2.7,-4.7368
IDFC First Bank,IDFCFIRSTB,Mid Bank,NSE,11184,2021-04-06,54.75,55.5,53.85,55.3,39210456,54.3,1.0,1.8416
