Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
ITC,ITC,Large Cap,NSE,1660,2020-12-08,162.16,162.79,158.7,161.0,38796851,,,
ITC,ITC,Large Cap,NSE,1660,2020-12-09,163.03,165.26,162.75,163.35,49900544,161.0,2.35,1.4596
ITC,ITC,Large Cap,NSE,1660,2020-12-10,164.34,169.91,161.56,169.15,82019331,163.35,5.8,3.5507
ITC,ITC,Large Cap,NSE,1660,2020-12-11,170.55,173.33,169.67,172.02,75851550,169.15,2.87,1.6967
ITC,ITC,Large Cap,NSE,1660,2020-12-14,173.33,173.85,170.98,171.7,33938248,172.02,-0.32,-0.186
ITC,ITC,Large Cap,NSE,1660,2020-12-15,171.18,172.1,168.28,169.83,29242415,171.7,-1.87,-1.0891
ITC,ITC,Large Cap,NSE,1660,2020-12-16,169.99,171.42,169.79,170.19,24584902,169.83,0.36,0.212
ITC,ITC,Large Cap,NSE,1660,2020-12-17,170.35,171.06,168.0,169.43,28149171,170.19,-0.76,-0.4466
ITC,ITC,Large Cap,NSE,1660,2020-12-18,169.47,171.74,166.81,170.59,29895582,169.43,1.16,0.6846
ITC,ITC,Large Cap,NSE,1660,2020-12-21,170.59,170.74,158.38,161.4,52604535,170.59,-9.19,-5.3872
ITC,ITC,Large Cap,NSE,1660,2020-12-22,161.52,164.02,156.59,161.76,51537672,161.4,0.36,0.223
ITC,ITC,Large Cap,NSE,1660,2020-12-23,161.44,165.61,160.64,165.22,29795759,161.76,3.46,2.139
ITC,ITC,Large Cap,NSE,1660,2020-12-24,167.01,167.52,163.51,165.89,28629635,165.22,0.67,0.4055
ITC,ITC,Large Cap,NSE,1660,2020-12-28,166.21,167.17,165.3,166.61,19793283,165.89,0.72,0.434
ITC,ITC,Large Cap,NSE,1660,2020-12-29,167.4,169.79,167.09,168.24,33380457,166.61,1.63,0.9783
ITC,ITC,Large Cap,NSE,1660,2020-12-30,169.15,169.79,166.65,167.92,23797285,168.24,-0.32,-0.1902
ITC,ITC,Large Cap,NSE,1660,2020-12-31,167.44,168.04,165.85,166.21,22942240,167.92,-1.71,-1.0183
ITC,ITC,Large Cap,NSE,1660,2021-01-01,166.93,170.35,166.45,170.07,24554350,166.21,3.86,2.3224
ITC,ITC,Large Cap,NSE,1660,2021-01-04,170.19,171.78,168.68,169.71,33814687,170.07,-0.36,-0.2117
ITC,ITC,Large Cap,NSE,1660,2021-01-05,168.96,169.59,167.48,168.16,22664111,169.71,-1.55,-0.9133
ITC,ITC,Large Cap,NSE,1660,2021-01-06,168.16,168.2,162.63,163.35,61699612,168.16,-4.81,-2.8604
ITC,ITC,Large Cap,NSE,1660,2021-01-07,163.91,165.1,160.72,161.28,43950370,163.35,-2.07,-1.2672
ITC,ITC,Large Cap,NSE,1660,2021-01-08,162.51,163.83,159.25,160.25,70953734,161.28,-1.03,-0.6386
ITC,ITC,Large Cap,NSE,1660,2021-01-11,162.24,163.91,160.05,161.04,54033215,160.25,0.79,0.493
ITC,ITC,Large Cap,NSE,1660,2021-01-12,161.44,164.54,160.33,164.18,44786568,161.04,3.14,1.9498
ITC,ITC,Large Cap,NSE,1660,2021-01-13,164.98,169.39,163.23,168.0,80382781,164.18,3.82,2.3267
ITC,ITC,Large Cap,NSE,1660,2021-01-14,168.6,172.18,168.28,170.31,60739468,168.0,2.31,1.375
ITC,ITC,Large Cap,NSE,1660,2021-01-15,170.9,173.77,167.96,173.25,73335062,170.31,2.94,1.7263
ITC,ITC,Large Cap,NSE,1660,2021-01-18,173.69,176.55,170.66,174.76,85012437,173.25,1.51,0.8716
ITC,ITC,Large Cap,NSE,1660,2021-01-19,175.75,176.31,172.97,174.04,39967681,174.76,-0.72,-0.412
ITC,ITC,Large Cap,NSE,1660,2021-01-20,173.77,174.16,171.54,173.09,56172695,174.04,-0.95,-0.5459
ITC,ITC,Large Cap,NSE,1660,2021-01-21,174.16,174.56,168.76,169.95,36464562,173.09,-3.14,-1.8141
ITC,ITC,Large Cap,NSE,1660,2021-01-22,170.19,170.78,166.33,167.56,31073961,169.95,-2.39,-1.4063
ITC,ITC,Large Cap,NSE,1660,2021-01-25,168.6,168.99,164.5,165.26,31395508,167.56,-2.3,-1.3726
ITC,ITC,Large Cap,NSE,1660,2021-01-27,165.42,169.11,164.7,167.52,60949578,165.26,2.26,1.3675
ITC,ITC,Large Cap,NSE,1660,2021-01-28,166.41,167.8,163.63,164.3,27829528,167.52,-3.22,-1.9222
ITC,ITC,Large Cap,NSE,1660,2021-01-29,165.85,166.05,160.92,161.64,29882506,164.3,-2.66,-1.619
ITC,ITC,Large Cap,NSE,1660,2021-02-01,162.24,173.33,160.49,171.74,72609843,161.64,10.1,6.2485
ITC,ITC,Large Cap,NSE,1660,2021-02-02,174.96,177.74,172.57,173.53,60932507,171.74,1.79,1.0423
ITC,ITC,Large Cap,NSE,1660,2021-02-03,176.15,176.55,171.54,172.37,67452913,173.53,-1.16,-0.6685
ITC,ITC,Large Cap,NSE,1660,2021-02-04,171.86,184.03,171.78,182.87,133060378,172.37,10.5,6.0915
ITC,ITC,Large Cap,NSE,1660,2021-02-05,184.62,189.95,180.73,186.37,157795889,182.87,3.5,1.9139
ITC,ITC,Large Cap,NSE,1660,2021-02-08,188.88,189.31,184.1,185.38,52178311,186.37,-0.99,-0.5312
ITC,ITC,Large Cap,NSE,1660,2021-02-09,186.57,190.23,181.48,182.12,88845274,185.38,-3.26,-1.7586
ITC,ITC,Large Cap,NSE,1660,2021-02-10,182.12,183.79,177.42,180.96,59455456,182.12,-1.16,-0.6369
ITC,ITC,Large Cap,NSE,1660,2021-02-11,182.12,182.36,178.54,180.09,54863614,180.96,-0.87,-0.4808
ITC,ITC,Large Cap,NSE,1660,2021-02-12,179.53,179.53,171.62,172.93,139032202,180.09,-7.16,-3.9758
ITC,ITC,Large Cap,NSE,1660,2021-02-15,173.73,175.75,172.97,173.85,39956950,172.93,0.92,0.532
ITC,ITC,Large Cap,NSE,1660,2021-02-16,174.2,176.39,172.77,173.57,36652834,173.85,-0.28,-0.1611
ITC,ITC,Large Cap,NSE,1660,2021-02-17,173.05,173.69,172.22,173.17,24960732,173.57,-0.4,-0.2305
ITC,ITC,Large Cap,NSE,1660,2021-02-18,173.53,175.44,173.29,174.04,30267167,173.17,0.87,0.5024
ITC,ITC,Large Cap,NSE,1660,2021-02-19,174.04,174.08,170.19,171.74,35365613,174.04,-2.3,-1.3215
ITC,ITC,Large Cap,NSE,1660,2021-02-22,172.55,172.55,167.67,168.52,63331815,171.74,-3.22,-1.8749
ITC,ITC,Large Cap,NSE,1660,2021-02-23,169.29,171.37,168.48,169.7,32775134,168.52,1.18,0.7002
ITC,ITC,Large Cap,NSE,1660,2021-02-24,170.19,170.76,168.07,169.98,16169656,169.7,0.28,0.165
ITC,ITC,Large Cap,NSE,1660,2021-02-25,170.51,171.9,169.94,170.23,31888289,169.98,0.25,0.1471
ITC,ITC,Large Cap,NSE,1660,2021-02-26,168.68,169.29,165.22,165.92,53358953,170.23,-4.31,-2.5319
ITC,ITC,Large Cap,NSE,1660,2021-03-01,167.22,169.09,166.08,168.4,19935337,165.92,2.48,1.4947
