Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-01-29,180.0,180.0,171.0,171.85,24895079,,,
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-01-30,168.0,175.8,163.25,163.25,22757539,171.85,-8.6,-5.0044
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-01-31,155.1,167.9,155.1,162.95,22054615,163.25,-0.3,-0.1838
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-01,163.85,171.09,162.95,170.75,6695119,162.95,7.8,4.7867
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-03,169.35,179.28,167.0,171.4,17569178,170.75,0.65,0.3807
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-04,172.0,174.0,162.83,163.74,43760198,171.4,-7.66,-4.4691
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-05,161.55,170.3,161.55,168.52,18221463,163.74,4.78,2.9193
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-06,170.0,174.0,168.52,172.11,7401574,168.52,3.59,2.1303
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-07,172.88,178.99,168.0,172.65,49505080,172.11,0.54,0.3138
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-10,175.2,179.99,173.5,179.28,8673303,172.65,6.63,3.8401
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-11,179.95,179.95,166.59,170.62,13950854,179.28,-8.66,-4.8304
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-12,170.0,176.0,165.85,174.66,16845299,170.62,4.04,2.3678
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-13,174.5,174.66,169.0,169.86,10164200,174.66,-4.8,-2.7482
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-14,170.7,171.75,160.35,164.67,13949059,169.86,-5.19,-3.0555
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-17,164.67,170.5,162.72,168.64,8544174,164.67,3.97,2.4109
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-18,169.8,169.8,165.25,166.17,6217106,168.64,-2.47,-1.4647
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-19,166.0,168.45,163.17,164.61,12488407,166.17,-1.56,-0.9388
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-20,164.61,168.5,162.7,165.24,11833022,164.61,0.63,0.3827
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-21,166.0,166.9,161.43,162.71,8608818,165.24,-2.53,-1.5311
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-24,162.4,162.4,158.56,160.44,7073132,162.71,-2.27,-1.3951
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-25,160.65,165.6,158.35,161.33,8816538,160.44,0.89,0.5547
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-27,163.5,165.49,160.88,161.94,10889252,161.33,0.61,0.3781
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-02-28,160.99,165.95,159.08,163.81,10337062,161.94,1.87,1.1547
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-03,164.7,165.0,159.05,161.5,4534822,163.81,-2.31,-1.4102
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-04,160.59,163.45,159.06,162.93,3827244,161.5,1.43,0.8854
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-05,163.1,176.0,162.26,173.77,9341395,162.93,10.84,6.6532
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-06,175.5,178.0,171.12,174.2,11691377,173.77,0.43,0.2475
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-07,174.8,175.67,171.9,173.2,4751880,174.2,-1.0,-0.5741
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-10,174.7,175.57,168.5,169.38,5750516,173.2,-3.82,-2.2055
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-11,168.2,170.1,167.01,168.41,3628422,169.38,-0.97,-0.5727
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-12,169.69,170.59,168.3,169.27,3271247,168.41,0.86,0.5107
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-13,170.0,171.57,165.82,166.73,5587313,169.27,-2.54,-1.5006
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-17,167.7,168.71,164.41,167.43,3758005,166.73,0.7,0.4198
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-18,168.2,179.0,167.4,177.75,10016596,167.43,10.32,6.1638
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-19,179.85,189.74,178.63,184.19,15741127,177.75,6.44,3.6231
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-20,186.4,187.0,181.85,183.24,10304144,184.19,-0.95,-0.5158
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-21,184.0,204.51,181.9,198.89,75532514,183.24,15.65,8.5407
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-24,193.98,197.99,190.93,195.48,19083033,198.89,-3.41,-1.7145
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-25,196.7,201.77,195.5,196.11,14609591,195.48,0.63,0.3223
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-26,197.0,197.94,190.05,191.02,5803551,196.11,-5.09,-2.5955
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-27,191.0,197.9,190.4,194.61,6819085,191.02,3.59,1.8794
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-03-28,197.0,205.8,195.61,197.51,13958181,194.61,2.9,1.4902
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-01,197.01,213.3,196.15,210.38,17676639,197.51,12.87,6.5161
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-02,209.82,210.0,202.21,206.43,13413653,210.38,-3.95,-1.8776
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-03,204.9,209.4,203.2,206.99,8319028,206.43,0.56,0.2713
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-04,206.01,206.99,198.7,200.42,9074967,206.99,-6.57,-3.1741
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-07,186.5,197.21,185.22,195.75,12234032,200.42,-4.67,-2.3301
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-08,200.85,202.0,192.31,192.73,10617094,195.75,-3.02,-1.5428
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-09,193.0,194.7,190.53,192.03,6995117,192.73,-0.7,-0.3632
ITC Hotels,ITCHOTELS,Consumer,NSE,29251,2025-04-11,195.1,201.4,193.4,200.12,8794778,192.03,8.09,4.2129
