Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-03-26,73.95,81.0,72.9,75.2,51363484,,,
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-03-30,75.8,77.9,69.65,70.85,11087181,75.2,-4.35,-5.7846
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-03-31,71.75,71.75,67.65,68.0,4653581,70.85,-2.85,-4.0226
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-01,68.6,72.75,68.2,70.9,7393348,68.0,2.9,4.2647
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-05,71.5,71.5,68.55,69.9,2389929,70.9,-1.0,-1.4104
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-06,70.3,71.25,69.1,70.35,2376915,69.9,0.45,0.6438
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-07,70.55,70.9,69.8,69.9,1620800,70.35,-0.45,-0.6397
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-08,71.9,75.0,71.4,72.85,4816706,69.9,2.95,4.2203
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-09,73.0,73.1,70.45,71.0,2352405,72.85,-1.85,-2.5395
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-12,70.9,70.9,68.0,68.35,2039069,71.0,-2.65,-3.7324
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-13,69.0,69.85,68.05,69.3,1437498,68.35,0.95,1.3899
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-15,69.0,69.85,68.55,69.0,895795,69.3,-0.3,-0.4329
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-16,69.0,69.7,68.8,68.9,908215,69.0,-0.1,-0.1449
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-19,67.8,67.8,65.7,66.85,1222806,68.9,-2.05,-2.9753
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-20,67.2,68.35,66.8,67.15,797576,66.85,0.3,0.4488
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-22,67.0,67.15,66.4,66.7,850871,67.15,-0.45,-0.6701
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-23,66.6,66.7,65.5,65.6,1822912,66.7,-1.1,-1.6492
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-26,65.9,67.0,63.75,63.85,2190034,65.6,-1.75,-2.6677
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-27,64.0,64.8,61.2,61.4,3528169,63.85,-2.45,-3.8371
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-28,61.55,62.9,60.6,61.65,4052085,61.4,0.25,0.4072
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-29,61.7,62.85,61.1,61.25,1935331,61.65,-0.4,-0.6488
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-04-30,61.0,61.2,59.75,59.9,2345487,61.25,-1.35,-2.2041
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-03,59.7,59.7,58.55,58.65,1695701,59.9,-1.25,-2.0868
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-04,58.65,60.7,58.1,58.25,2295775,58.65,-0.4,-0.682
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-05,58.5,59.5,58.0,58.1,1576111,58.25,-0.15,-0.2575
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-06,58.45,58.8,56.6,56.7,2231577,58.1,-1.4,-2.4096
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-07,57.0,59.65,56.3,58.8,4761972,56.7,2.1,3.7037
Kalyan Jewellers,KALYANKJIL,Jewellery,NSE,2955,2021-05-10,59.4,62.0,59.2,61.5,3878959,58.8,2.7,4.5918
