Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-08,52.0,56.3,50.85,54.85,10643878,,,
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-09,55.5,61.3,54.55,60.35,19129600,54.85,5.5,10.0273
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-10,60.0,60.0,57.05,58.65,7586225,60.35,-1.7,-2.8169
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-11,59.0,59.75,57.15,57.7,4115771,58.65,-0.95,-1.6198
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-14,57.95,60.4,57.5,58.95,4053250,57.7,1.25,2.1664
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-15,58.2,58.8,57.1,57.65,2465078,58.95,-1.3,-2.2053
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-16,58.5,61.4,57.8,59.9,5515564,57.65,2.25,3.9029
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-17,59.4,59.8,57.85,58.25,1661067,59.9,-1.65,-2.7546
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-18,58.1,58.2,56.1,56.8,2226678,58.25,-1.45,-2.4893
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-21,56.05,56.95,50.0,51.35,3531129,56.8,-5.45,-9.5951
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-22,51.3,51.95,47.15,51.65,4172315,51.35,0.3,0.5842
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-23,51.6,54.5,51.25,54.1,3110342,51.65,2.45,4.7435
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-24,54.1,55.6,53.9,54.55,2397526,54.1,0.45,0.8318
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-28,54.6,55.55,54.6,55.05,1369334,54.55,0.5,0.9166
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-29,55.5,60.0,55.0,59.3,12063102,55.05,4.25,7.7203
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-30,59.5,60.0,57.2,58.3,4126598,59.3,-1.0,-1.6863
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2020-12-31,58.5,58.7,57.35,57.75,1704623,58.3,-0.55,-0.9434
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-01,58.0,59.3,57.75,58.35,2271160,57.75,0.6,1.039
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-04,58.95,59.95,58.5,58.8,2462013,58.35,0.45,0.7712
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-05,58.05,60.9,58.05,60.4,4652877,58.8,1.6,2.7211
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-06,62.15,63.85,62.05,62.75,11037315,60.4,2.35,3.8907
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-07,63.8,65.25,63.2,64.05,7175828,62.75,1.3,2.0717
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-08,64.75,65.2,62.5,64.25,3997622,64.05,0.2,0.3123
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-11,65.75,65.75,62.4,64.15,3673274,64.25,-0.1,-0.1556
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-12,64.7,71.3,64.2,67.45,25342597,64.15,3.3,5.1442
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-13,68.45,68.85,65.3,67.15,12183548,67.45,-0.3,-0.4448
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-14,67.15,67.9,66.25,67.25,5748845,67.15,0.1,0.1489
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-15,67.3,67.6,65.2,65.9,3912362,67.25,-1.35,-2.0074
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-18,66.0,66.2,63.0,63.15,3407031,65.9,-2.75,-4.173
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-19,63.85,64.95,63.6,63.95,2066940,63.15,0.8,1.2668
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-20,63.95,64.35,63.05,63.9,1919754,63.95,-0.05,-0.0782
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-21,64.05,65.2,62.45,62.85,1894368,63.9,-1.05,-1.6432
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-22,62.6,63.45,61.0,61.35,2134164,62.85,-1.5,-2.3866
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-25,61.55,62.2,58.7,60.35,2059115,61.35,-1.0,-1.63
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-27,60.0,60.9,58.7,59.85,1923278,60.35,-0.5,-0.8285
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-28,59.0,60.5,58.1,59.7,2076294,59.85,-0.15,-0.2506
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-01-29,60.1,62.3,59.25,59.8,2208323,59.7,0.1,0.1675
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-01,60.25,63.0,59.75,62.65,2566140,59.8,2.85,4.7659
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-02,63.35,65.1,63.2,64.7,5453864,62.65,2.05,3.2721
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-03,65.1,65.5,63.55,64.0,2828364,64.7,-0.7,-1.0819
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-04,64.1,66.6,62.95,66.0,4520107,64.0,2.0,3.125
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-05,66.25,70.45,66.25,67.75,9551899,66.0,1.75,2.6515
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-08,68.3,69.1,66.2,66.95,2528729,67.75,-0.8,-1.1808
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-09,66.7,67.3,65.5,65.85,1864974,66.95,-1.1,-1.643
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-10,65.85,66.35,64.65,65.0,1739070,65.85,-0.85,-1.2908
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-11,64.9,65.95,64.7,65.3,1149092,65.0,0.3,0.4615
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-12,65.7,66.4,65.05,65.25,1319760,65.3,-0.05,-0.0766
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-15,65.5,66.4,64.55,64.8,1256812,65.25,-0.45,-0.6897
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-16,65.3,66.9,64.9,65.55,2916460,64.8,0.75,1.1574
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-17,65.55,67.9,65.45,66.75,4071980,65.55,1.2,1.8307
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-18,67.4,72.8,67.25,70.0,15808469,66.75,3.25,4.8689
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-19,70.0,72.6,67.4,69.5,8812174,70.0,-0.5,-0.7143
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-22,68.05,68.95,66.15,66.75,3744705,69.5,-2.75,-3.9568
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-23,67.3,67.6,66.0,66.5,1825828,66.75,-0.25,-0.3745
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-24,66.8,72.25,66.65,70.75,5169802,66.5,4.25,6.391
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-25,71.95,71.95,68.1,68.95,4276326,70.75,-1.8,-2.5442
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-02-26,68.4,69.25,67.35,67.55,2541152,68.95,-1.4,-2.0305
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-01,68.15,68.9,67.5,67.8,1874122,67.55,0.25,0.3701
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-02,68.45,68.7,67.7,67.9,1417446,67.8,0.1,0.1475
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-03,68.0,69.75,68.0,68.9,2238071,67.9,1.0,1.4728
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-04,68.1,73.5,68.0,71.75,10607349,68.9,2.85,4.1364
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-05,71.0,71.75,67.05,68.45,3790517,71.75,-3.3,-4.5993
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-08,68.9,70.7,67.65,68.0,1775460,68.45,-0.45,-0.6574
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-09,68.6,69.35,67.2,67.8,2616293,68.0,-0.2,-0.2941
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-10,68.35,68.7,67.6,68.05,1874087,67.8,0.25,0.3687
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-12,68.65,68.8,67.05,67.3,1868741,68.05,-0.75,-1.1021
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-15,67.5,67.9,65.55,66.25,1605572,67.3,-1.05,-1.5602
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-16,66.6,66.8,65.5,65.8,1213543,66.25,-0.45,-0.6792
Karnataka Bank,KTKBANK,Mid Bank,NSE,8054,2021-03-17,65.85,66.35,62.95,63.3,1633813,65.8,-2.5,-3.7994
