Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-08,175.0,177.8,172.85,175.75,4948219,,,
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-09,177.45,177.5,173.05,173.6,3109255,175.75,-2.15,-1.2233
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-10,173.0,173.0,168.5,171.55,6102959,173.6,-2.05,-1.1809
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-11,173.0,174.65,169.0,170.2,4562637,171.55,-1.35,-0.7869
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-14,171.5,172.9,169.4,172.5,3935766,170.2,2.3,1.3514
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-15,172.8,174.5,169.75,173.4,6080299,172.5,0.9,0.5217
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-16,175.25,177.2,173.1,173.8,6597591,173.4,0.4,0.2307
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-17,174.0,176.8,172.65,174.1,4620679,173.8,0.3,0.1726
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-18,174.25,175.8,170.85,174.2,4706633,174.1,0.1,0.0574
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-21,172.0,175.05,160.0,162.1,8887135,174.2,-12.1,-6.946
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-22,162.5,164.7,154.0,163.0,9828430,162.1,0.9,0.5552
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-23,161.85,166.0,161.3,165.0,3812034,163.0,2.0,1.227
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-24,165.95,167.5,163.5,164.05,4039264,165.0,-0.95,-0.5758
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-28,165.5,168.5,165.15,167.4,3811001,164.05,3.35,2.0421
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-29,167.85,168.4,165.6,166.35,4689236,167.4,-1.05,-0.6272
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-30,167.1,167.2,163.8,165.6,4409096,166.35,-0.75,-0.4509
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2020-12-31,165.8,167.45,164.85,165.5,2502440,165.6,-0.1,-0.0604
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-01,165.95,168.45,165.8,167.2,3221905,165.5,1.7,1.0272
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-04,168.9,172.65,168.7,172.05,6196053,167.2,4.85,2.9007
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-05,171.15,174.2,169.85,173.75,6011885,172.05,1.7,0.9881
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-06,175.0,175.75,171.25,173.95,5773730,173.75,0.2,0.1151
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-07,174.65,177.75,173.0,176.75,5552211,173.95,2.8,1.6097
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-08,177.5,177.5,173.65,174.25,3803277,176.75,-2.5,-1.4144
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-11,174.6,174.6,170.35,172.9,4073232,174.25,-1.35,-0.7747
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-12,173.0,175.95,170.95,173.3,3159126,172.9,0.4,0.2313
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-13,176.8,176.8,167.4,171.35,5463039,173.3,-1.95,-1.1252
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-14,170.25,173.55,169.15,171.2,5152056,171.35,-0.15,-0.0875
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-15,171.0,172.6,167.6,169.15,6076889,171.2,-2.05,-1.1974
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-18,169.4,170.0,161.15,162.2,7453785,169.15,-6.95,-4.1088
Manappuram Finance,MANAPPURAM,NBFC,NSE,19061,2021-01-19,163.0,167.0,163.0,166.45,3557769,162.2,4.25,2.6202
