Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-08,979.0,989.0,955.6,970.4,401126,,,
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-09,980.0,982.6,958.1,971.25,442175,970.4,0.85,0.0876
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-10,971.2,971.2,886.65,959.15,272227,971.25,-12.1,-1.2458
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-11,970.0,979.0,947.0,953.1,360554,959.15,-6.05,-0.6308
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-14,953.1,968.0,938.1,956.45,451560,953.1,3.35,0.3515
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-15,961.1,961.25,943.05,947.8,259102,956.45,-8.65,-0.9044
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-16,950.1,956.95,945.05,949.55,221377,947.8,1.75,0.1846
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-17,948.1,956.25,938.0,941.15,246015,949.55,-8.4,-0.8846
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-18,950.0,953.0,934.0,947.5,193686,941.15,6.35,0.6747
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-21,948.45,949.9,884.1,921.9,383557,947.5,-25.6,-2.7018
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-22,928.0,940.0,885.35,907.05,353873,921.9,-14.85,-1.6108
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-23,907.05,923.7,907.0,920.0,256088,907.05,12.95,1.4277
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-24,926.0,943.4,922.4,932.0,249292,920.0,12.0,1.3043
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-28,939.95,955.0,933.85,951.4,251789,932.0,19.4,2.0815
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-29,962.0,972.85,951.8,958.15,283529,951.4,6.75,0.7095
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-30,963.0,972.0,945.65,968.5,326110,958.15,10.35,1.0802
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2020-12-31,974.0,986.1,955.1,961.95,883732,968.5,-6.55,-0.6763
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-01,965.0,980.9,961.35,967.3,243724,961.95,5.35,0.5562
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-04,972.0,974.6,961.0,968.8,327696,967.3,1.5,0.1551
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-05,968.8,970.9,960.2,966.45,127800,968.8,-2.35,-0.2426
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-06,970.0,979.0,936.95,953.05,315073,966.45,-13.4,-1.3865
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-07,966.5,966.5,931.0,934.55,337222,953.05,-18.5,-1.9411
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-08,940.4,952.9,932.0,938.3,399488,934.55,3.75,0.4013
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-11,948.3,951.8,926.0,932.15,284686,938.3,-6.15,-0.6554
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-12,936.75,961.45,932.2,955.1,319548,932.15,22.95,2.4621
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-13,957.0,972.0,935.0,943.8,744366,955.1,-11.3,-1.1831
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-14,946.5,959.5,935.1,936.9,209388,943.8,-6.9,-0.7311
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-15,941.5,944.9,903.0,916.6,355091,936.9,-20.3,-2.1667
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-18,916.6,918.0,886.7,890.0,308487,916.6,-26.6,-2.902
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-19,899.0,917.95,895.2,910.55,147589,890.0,20.55,2.309
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-20,915.0,918.9,902.9,906.0,136697,910.55,-4.55,-0.4997
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-21,906.0,914.0,894.0,896.75,151466,906.0,-9.25,-1.021
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-22,903.95,907.2,882.95,905.1,163964,896.75,8.35,0.9311
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-25,910.0,914.0,884.0,894.45,231859,905.1,-10.65,-1.1767
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-27,895.1,902.95,882.05,884.5,177844,894.45,-9.95,-1.1124
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-28,885.0,900.8,864.0,894.35,361158,884.5,9.85,1.1136
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-01-29,895.6,904.8,882.9,890.25,117664,894.35,-4.1,-0.4584
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-02-01,894.6,899.0,865.0,889.5,475747,890.25,-0.75,-0.0842
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-02-02,898.0,907.3,882.0,887.05,191894,889.5,-2.45,-0.2754
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-02-03,888.0,917.95,888.0,893.25,353722,887.05,6.2,0.6989
Natco Pharma,NATCOPHARM,Pharma,NSE,3918,2021-02-04,900.3,909.9,890.3,902.0,406697,893.25,8.75,0.9796
