Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-08,8.28,9.01,8.0,8.78,103550712,,,
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-09,9.11,9.79,8.97,9.52,138694893,8.78,0.74,8.4282
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-10,9.47,9.47,9.01,9.15,39785158,9.52,-0.37,-3.8866
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-11,9.29,9.33,8.88,9.01,22957947,9.15,-0.14,-1.5301
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-14,9.15,9.2,8.78,8.83,16060584,9.01,-0.18,-1.9978
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-15,8.83,8.88,8.28,8.46,22038713,8.83,-0.37,-4.1903
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-16,8.46,8.65,8.42,8.46,11840885,8.46,0.0,0.0
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-17,8.51,8.51,8.37,8.37,9060348,8.46,-0.09,-1.0638
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-18,8.37,8.42,8.0,8.23,12615414,8.37,-0.14,-1.6726
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-21,8.09,8.28,7.4,7.5,24638658,8.23,-0.73,-8.87
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-22,7.45,7.73,6.02,7.63,39098714,7.5,0.13,1.7333
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-23,7.77,8.32,7.63,8.23,28494612,7.63,0.6,7.8637
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-24,8.37,8.55,8.09,8.23,17922264,8.23,0.0,0.0
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-28,8.32,8.51,8.28,8.32,16120747,8.23,0.09,1.0936
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-29,8.42,8.6,8.32,8.46,19150883,8.32,0.14,1.6827
South Indian Bank,SOUTHBANK,Mid Bank,NSE,5948,2020-12-30,8.46,8.55,8.28,8.32,12424810,8.46,-0.14,-1.6548
