Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-08,61.6,62.15,60.25,61.35,170158527,,,
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-09,61.8,62.07,60.71,60.94,127307308,61.35,-0.41,-0.6683
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-10,60.6,61.4,59.35,61.01,198293277,60.94,0.07,0.1149
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-11,61.49,62.55,61.43,62.17,163956977,61.01,1.16,1.9013
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-14,62.68,63.89,62.53,62.68,177227147,62.17,0.51,0.8203
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-15,62.35,63.71,61.74,63.54,132263118,62.68,0.86,1.372
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-16,64.12,64.95,63.82,64.34,160402557,63.54,0.8,1.259
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-17,64.34,64.6,63.15,63.53,79651858,64.34,-0.81,-1.2589
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-18,63.83,64.09,62.8,63.13,253515056,63.53,-0.4,-0.6296
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-21,62.4,62.77,58.56,59.59,190766537,63.13,-3.54,-5.6075
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-22,59.6,61.05,58.5,60.14,188468787,59.59,0.55,0.923
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-23,59.9,62.42,59.63,62.14,122383428,60.14,2.0,3.3256
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-24,62.53,63.7,61.93,62.23,120907398,62.14,0.09,0.1448
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-28,62.83,63.54,62.66,63.27,104805168,62.23,1.04,1.6712
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-29,63.79,63.97,62.11,63.22,104163258,63.27,-0.05,-0.079
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-30,63.3,64.4,62.41,64.05,115144278,63.22,0.83,1.3129
Tata Steel,TATASTEEL,Metals,NSE,3499,2020-12-31,63.66,65.35,63.66,64.37,177130117,64.05,0.32,0.4996
Tata Steel,TATASTEEL,Metals,NSE,3499,2021-01-01,64.5,64.97,64.0,64.31,84113958,64.37,-0.06,-0.0932
Tata Steel,TATASTEEL,Metals,NSE,3499,2021-01-04,64.9,69.99,64.65,69.3,381849544,64.31,4.99,7.7593
Tata Steel,TATASTEEL,Metals,NSE,3499,2021-01-05,68.7,69.39,67.51,68.06,215452536,69.3,-1.24,-1.7893
Tata Steel,TATASTEEL,Metals,NSE,3499,2021-01-06,68.4,69.67,67.5,68.38,196105217,68.06,0.32,0.4702
