Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-08,111.96,112.42,108.33,110.06,69615614,,,
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-09,110.78,112.84,109.97,110.6,66571446,110.06,0.54,0.4906
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-10,110.6,110.6,106.79,107.51,63380424,110.6,-3.09,-2.7939
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-11,107.73,109.84,106.85,108.27,71138892,107.51,0.76,0.7069
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-14,109.57,109.88,106.97,107.54,54819575,108.27,-0.73,-0.6742
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-15,106.82,108.79,104.88,108.3,68041295,107.54,0.76,0.7067
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-16,109.57,111.27,109.03,110.51,84674111,108.3,2.21,2.0406
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-17,111.39,111.39,109.36,110.0,56332165,110.51,-0.51,-0.4615
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-18,109.51,109.88,106.94,109.3,76093947,110.0,-0.7,-0.6364
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-21,106.55,107.48,98.37,99.61,124853515,109.3,-9.69,-8.8655
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-22,99.61,102.43,94.86,99.86,181722514,99.61,0.25,0.251
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-23,99.89,102.73,98.92,102.43,94041361,99.86,2.57,2.5736
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-24,104.12,107.76,104.12,106.52,121938337,102.43,4.09,3.993
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-28,108.88,113.45,108.36,112.81,161859834,106.52,6.29,5.905
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-29,113.75,114.08,109.63,111.06,117786544,112.81,-1.75,-1.5513
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-30,110.84,112.24,109.21,111.48,63709100,111.06,0.42,0.3782
Tata Motors PV,TMPV,Auto,NSE,3456,2020-12-31,111.9,113.51,110.66,111.3,80889864,111.48,-0.18,-0.1615
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-01,111.96,113.2,111.69,112.9,45121805,111.3,1.6,1.4376
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-04,116.11,116.84,114.26,115.81,105659219,112.9,2.91,2.5775
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-05,113.27,117.38,112.02,116.96,125103977,115.81,1.15,0.993
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-06,117.71,119.62,115.41,118.29,124872267,116.96,1.33,1.1371
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-07,119.26,121.29,118.11,119.11,109040825,118.29,0.82,0.6932
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-08,120.32,121.98,119.32,119.95,89187321,119.11,0.84,0.7052
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-11,121.01,136.45,120.86,133.58,301398869,119.95,13.63,11.3631
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-12,137.42,152.8,135.66,143.96,645133255,133.58,10.38,7.7706
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-13,147.05,150.62,144.32,146.86,271939545,143.96,2.9,2.0144
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-14,147.01,151.22,144.44,148.38,143381658,146.86,1.52,1.035
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-15,148.92,160.21,146.86,157.58,412769217,148.38,9.2,6.2003
Tata Motors PV,TMPV,Auto,NSE,3456,2021-01-18,158.4,158.88,145.99,148.89,286347092,157.58,-8.69,-5.5147
