Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-08,180.15,182.5,179.2,181.85,23626602,,,
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-09,183.88,183.88,178.75,179.75,36275376,181.85,-2.1,-1.1548
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-10,178.1,179.0,176.38,177.95,13794794,179.75,-1.8,-1.0014
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-11,178.7,180.0,176.33,176.75,11727232,177.95,-1.2,-0.6743
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-14,176.75,177.28,173.55,174.68,23003678,176.75,-2.07,-1.1711
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-15,174.65,176.95,173.75,176.35,14463562,174.68,1.67,0.956
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-16,176.95,179.48,176.6,179.2,13332544,176.35,2.85,1.6161
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-17,179.2,179.63,177.75,178.45,8330742,179.2,-0.75,-0.4185
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-18,179.48,182.9,178.75,181.78,34796162,178.45,3.33,1.8661
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-21,181.25,183.73,174.18,176.98,19330126,181.78,-4.8,-2.6406
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-22,177.0,182.85,174.73,182.1,16372078,176.98,5.12,2.893
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-23,187.0,193.8,185.85,192.78,89748866,182.1,10.68,5.8649
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-24,193.23,193.35,189.33,191.1,24475038,192.78,-1.68,-0.8715
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-28,191.73,193.2,191.0,191.45,9443158,191.1,0.35,0.1832
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-29,192.0,195.25,191.55,192.5,22904830,191.45,1.05,0.5484
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-30,192.5,193.3,191.4,192.2,14369014,192.5,-0.3,-0.1558
Wipro,WIPRO,Large Cap,NSE,3787,2020-12-31,190.6,193.8,190.6,193.13,12782378,192.2,0.93,0.4839
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-01,192.53,195.38,192.53,194.05,10082154,193.13,0.92,0.4764
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-04,195.0,198.98,193.9,198.2,19497830,194.05,4.15,2.1386
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-05,197.05,204.9,196.75,202.75,50290022,198.2,4.55,2.2957
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-06,202.5,208.7,201.65,203.2,44966336,202.75,0.45,0.2219
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-07,206.13,206.5,201.93,203.38,24683010,203.2,0.18,0.0886
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-08,203.75,216.33,203.63,215.1,81986460,203.38,11.72,5.7626
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-11,218.0,225.5,217.5,223.4,94648626,215.1,8.3,3.8587
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-12,223.98,230.38,221.2,228.85,44266458,223.4,5.45,2.4396
Wipro,WIPRO,Large Cap,NSE,3787,2021-01-13,230.5,233.73,226.4,229.5,58362002,228.85,0.65,0.284
