Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-08,472.0,475.7,463.0,465.05,3064923,,,
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-09,468.5,474.4,463.4,467.95,3655392,465.05,2.9,0.6236
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-10,468.6,475.45,464.0,469.55,2907247,467.95,1.6,0.3419
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-11,470.95,472.95,461.0,466.65,1634404,469.55,-2.9,-0.6176
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-14,469.0,473.7,466.55,469.85,2084100,466.65,3.2,0.6857
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-15,473.0,475.45,465.0,466.85,2936032,469.85,-3.0,-0.6385
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-16,471.0,472.85,465.9,469.0,2630386,466.85,2.15,0.4605
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-17,469.0,481.0,468.1,475.05,4533593,469.0,6.05,1.29
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-18,475.4,479.45,470.0,476.6,2439589,475.05,1.55,0.3263
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-21,476.6,485.75,428.95,452.8,7647410,476.6,-23.8,-4.9937
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-22,455.0,470.85,438.8,469.05,4489020,452.8,16.25,3.5888
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-23,467.25,479.25,465.05,475.0,3377709,469.05,5.95,1.2685
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-24,477.8,491.7,470.0,489.5,5252160,475.0,14.5,3.0526
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-28,496.45,499.25,484.0,487.7,6452383,489.5,-1.8,-0.3677
Zydus Lifesciences,ZYDUSLIFE,Pharma,NSE,7929,2020-12-29,488.0,490.5,477.1,479.35,3004067,487.7,-8.35,-1.7121
